,year,gender,place,place_gender,name,city,bib,division,half,finish
0,2014,M,1,1,"Kipchoge, Eliud (KEN)",,2,25-29,1:02:11,2:04:11
1,2014,M,3,3,"Chumba, Dickson (KEN)",,7,25-29,1:02:12,2:04:32
2,2014,M,5,5,"Koech, Bernard (KEN)",,5,25-29,1:02:12,2:08:30
3,2014,M,7,7,"Rutto, Lani (KEN)",,43,25-29,1:02:12,2:10:42
4,2014,M,9,9,"Curtis, Bobby (USA)",,17,25-29,1:05:30,2:11:20
5,2014,M,11,11,"Riley, Jake (USA)",,35,25-29,1:06:33,2:13:16
6,2014,M,13,13,"Landry, Christo (USA)",,23,25-29,1:06:05,2:14:30
7,2014,M,15,15,"Morgan, Mike (USA)",,21,30-34,1:06:49,2:14:42
8,2014,M,17,17,"Sasaki, Satoru (JPN)","Nobeoka, MIYAZAKI",10,25-29,1:05:17,2:15:25
9,2014,M,19,19,"Leon, Craig (USA)",,19,25-29,1:06:05,2:16:00
10,2014,M,21,21,"Yonezawa, Rui (JPN)","Hiroshima, HIROSHIMA",15,25-29,1:05:17,2:17:30
11,2014,M,23,23,"Dewitt, John (USA)","Milwaukee, WI",279,20-24,1:08:46,2:17:38
12,2014,M,25,25,"Rizzo, Patrick (USA)",,18,30-34,1:06:49,2:18:04
13,2014,M,27,27,"Humphrey, Luke (USA)",,22,30-34,1:06:49,2:18:19
14,2014,M,29,29,"Christiansen, Jed (USA)","Greenville, PA",304,25-29,1:08:25,2:18:55
15,2014,M,31,31,"Blume, Matthew (USA)","Chicago, IL",362,30-34,1:09:46,2:20:28
16,2014,M,33,33,"Hensley, Matt (USA)","Boulder, CO",345,25-29,1:08:49,2:20:53
17,2014,M,35,35,"Krong, Jake (USA)","Salt Lake City, UT",344,30-34,1:08:47,2:21:12
18,2014,M,37,37,"Macias, Mario (USA)","Boulder, CO",24,30-34,1:07:08,2:22:47
19,2014,M,39,39,"Barrett, Matt (USA)","Madison, WI",350,25-29,1:09:55,2:23:09
20,2014,M,41,41,"Johns, Ryan (USA)","New York, NY",329,25-29,1:11:10,2:23:36
21,2014,M,43,43,"Zdroik, Evan (USA)","Watertown, WI",326,25-29,1:09:48,2:24:03
22,2014,M,45,45,"Roeder, Madison (USA)","Indianapolis, IN",335,25-29,1:11:18,2:24:55
23,2014,M,47,47,"Carpenter, Joseph (USA)","Cambridge, MA",305,25-29,1:13:16,2:25:20
